subjects,sentences,contexts,gestured,maxF0,meanF0
subj1_shorten_mono,all the moms didn't allow eyeliner,all > not,no,153.4691183,114.878847
subj1_shorten_mono,all the moms didn't allow eyeliner,not >all,no,137.5101651,107.0231582
subj1_shorten_mono,Neil doesn't enjoy,not  > most,no,154.1409624,127.028862
subj1_shorten_mono,most,,yes,111.8714433,106.7124056
subj1_shorten_mono,musicals,,no,232.3142542,130.5442153
subj1_shorten_mono,Neildoesn't,most > not,yes,144.4563896,128.7630693
subj1_shorten_mono,enjoy most musicals,,no,109.0907734,100.9112213
subj1_shorten_mono,all,not > all,yes,156.9067564,140.5636013
subj1_shorten_mono,the woollining wasn't worn,,no,146.5585012,107.8514181
subj1_shorten_mono,all the woollining wasn't worn,all > not,no,140.6607223,113.5821897
subj1_shorten_mono,Liam doens't know many alumni,not > many,no,234.3994691,116.934508
subj1_shorten_mono,Liam doesn't,many > not,yes,247.5444291,144.5283907
subj1_shorten_mono,know many alumni,,no,119.0264863,99.72932773
subj1_shorten_mono,all the magnolias won't bloom,all > not,no,125.4421714,110.425006
subj1_shorten_mono,all the magnolias won't bloom,not > all,no,265.870124,120.0091443
subj2_shorten_mono,all the magnolias,not > all,no,274.6073686,164.7302595
subj2_shorten_mono,won't bloom,,yes,159.717453,135.7002949
subj2_shorten_mono,all,all > not,no,263.0076103,231.5257786
subj2_shorten_mono,the magnolias won't bloom,,yes,157.7694694,140.1815844
subj2_shorten_mono,Liam doesn't know many alumni,many > not,no,241.2676673,173.8786792
subj2_shorten_mono,Liam doesn't know many alumni,not > many,no,241.1353453,172.1393064
subj2_shorten_mono,all the woollining wasn't worn,all > not,no,229.319255,177.5900619
subj2_shorten_mono,all the woollining wasn't worn,not > all,no,286.4765013,168.4202813
subj2_shorten_mono,Neil doesn't enjoy most musicals,most > not,no,246.6261682,169.2898819
subj2_shorten_mono,Neil doesn't enjoy most musicals,not > most,no,255.9875273,174.3250768
subj2_shorten_mono,all the,not > all,yes,269.444033,208.5623034
subj2_shorten_mono,moms didn't allow eyeliner,,no,158.8657664,140.5304632
subj2_shorten_mono,all the moms didn't allow,all > not,no,238.5270341,160.4618925
subj2_shorten_mono,eyeliner,,yes,142.6285085,130.122899
subj3_shorten_mono,all the magnolias,not > all,no,199.709759,117.7899442
subj3_shorten_mono,won't,,yes,103.1685185,90.30733822
subj3_shorten_mono,bloom,,no,138.3392362,105.4857427
subj3_shorten_mono,all the magnolias,all > not,no,167.1202817,110.8164199
subj3_shorten_mono,won't bloom,,yes,108.0265503,88.23481324
subj3_shorten_mono,Liam,many > not,no,134.5283023,122.7214116
subj3_shorten_mono,doesn't know many,,yes,127.6241509,107.6733976
subj3_shorten_mono,alumni,,no,164.2550583,100.4314797
subj3_shorten_mono,Liam doesn't know many,not  >many,no,181.2314237,145.1713933
subj3_shorten_mono,alumni,,yes,126.6755754,110.1009986
subj3_shorten_mono,all the woollining,all > not,no,163.920167,127.4086494
subj3_shorten_mono,wasn't,,yes,128.3115061,113.1572195
subj3_shorten_mono,worn,,no,106.8756544,100.2069075
subj3_shorten_mono,all the woollining,not > all,no,210.8716592,117.4709109
subj3_shorten_mono,wasn't,,no,106.7351925,91.32144388
subj3_shorten_mono,worn,,no,144.0752752,111.7772061
