subject,sentence,context,sentence_length,maxF0,meanF0,F1,F2,F3,keyword,last_word_len
subj1_shorten_mono,all the moms didn't allow eyeliner,all > not,2099.089,153.4691183,114.878847,369.6110698,1789.320706,2889.320384,eyeliner,500.203
subj1_shorten_mono,all the moms didn't allow eyeliner,not > all,2157.257,137.5101651,107.0231582,504.6351402,2201.733575,3374.630782,eyeliner,704.18
subj1_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2341.139,232.3142542,123.7946085,447.4262761,1867.815387,2583.171581,musical ,766.614
subj1_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2049.643,144.4563896,113.2123673,1248.148454,2148.584862,3693.015923,musical ,768.201
subj1_shorten_mono,all the woollining wasn't worn,not > all,1814.085,156.9067564,115.1573829,467.7566009,2125.41957,2942.107536,wool,345.613
subj1_shorten_mono,all the woollining wasn't worn,all > not,1768.958,140.6607223,113.5821897,509.6093339,2306.030163,2907.668525,wool,331.756
subj1_shorten_mono,Liam doens't know many alumni,not > most/many,1788.922,234.3994691,116.934508,728.9647411,2132.363214,3285.851359,alumnus,625.012
subj1_shorten_mono,Liam doesn't know many alumni,most/many > not,1916.634,247.5444291,116.5675151,403.1559652,1453.458051,2457.028554,alumnus,684.157
subj1_shorten_mono,all the magnolias won't bloom,not > all,1564.361,125.4421714,110.425006,438.4721421,1986.608428,2589.239988,magnolia,372.215
subj1_shorten_mono,all the magnolias won't bloom,all > not,1496.563,265.870124,120.0091443,437.1973762,1636.670176,2779.034024,magnolia,265.278
subj2_shorten_mono,all the magnolias won't bloom,not > all,1942.716,274.6073686,153.0128091,417.9403963,1557.096655,2623.356998,magnolia,487.895
subj2_shorten_mono,all the magnolias won't bloom,all > not,1924.387,263.0076103,155.7179643,391.8536354,1755.290877,2389.96702,magnolia,388.328
subj2_shorten_mono,Liam doesn't know many alumni,most/many > not,2284.741,241.2676673,173.8786792,393.4290933,947.9956578,2455.744972,alumnus,635.048
subj2_shorten_mono,Liam doesn't know many alumni,not > most/many,2033.393,241.1353453,172.1393064,350.6194113,2041.339066,2422.90663,alumnus,746.561
subj2_shorten_mono,all the woollining wasn't worn,all > not,1985.759,229.319255,177.5900619,335.094311,2096.766099,2394.382902,wool,498.972
subj2_shorten_mono,all the woollining wasn't worn,not > all,1833.7,286.4765013,168.4202813,335.805841,1497.897124,2645.756573,wool,513.925
subj2_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2415.384,246.6261682,169.2898819,527.1047747,1519.985596,2480.734475,musical ,747.803
subj2_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2382.256,255.9875273,174.3250768,299.3421503,1764.162931,2663.493541,musical ,766.064
subj2_shorten_mono,all the moms didn't allow eyeliner,not > all,2101.686,269.444033,154.1017852,353.4436826,1385.483622,2576.714132,eyeliner,683.552
subj2_shorten_mono,all the moms didn't allow eyeliner,all > not,2193.405,238.5270341,152.8767852,353.6461392,1119.957785,2954.095137,eyeliner,624.802
subj3_shorten_mono,all the magnolias won't bloom,not > all,1808.047,199.709759,111.4512816,329.1325081,1974.629313,2880.804049,magnolia,499.643
subj3_shorten_mono,all the magnolias won't bloom,all > not,2345.964,167.1202817,103.4476851,418.4816938,1054.857691,3127.365318,magnolia,445.401
subj3_shorten_mono,Liam doesn't know many alumni,most/many > not,1999.976,164.2550583,110.1439263,858.9399399,1327.990348,3022.638468,alumnus,557.519
subj3_shorten_mono,Liam doesn't know many alumni,not > most/many,2107.963,181.2314237,133.6102191,509.3418186,1528.849346,2845.547306,alumnus,637.369
subj3_shorten_mono,all the woollining wasn't worn,all > not,2050.809,163.920167,119.7493183,290.593517,1847.628294,2477.840796,wool,444.772
subj3_shorten_mono,all the woollining wasn't worn,not > all,2204.673,210.8716592,111.3451581,403.4204506,1730.042113,2915.768597,wool,543.835
subj3_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,3050.973,257.0855346,178.5669311,517.8319959,2384.310867,3008.263979,musical ,1152.26
subj3_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2457.324,220.3727435,127.8337254,284.6041082,1611.143799,2730.685178,musical ,780.972
subj3_shorten_mono,all the moms didn't allow blank eyeliner,not > all,2598.048,237.4741195,112.8178799,644.9319945,1087.108769,2626.13949,eyeliner,644.203
subj3_shorten_mono,all the moms didn't allow eyeliner,all > not,2415.847,166.3375648,117.0769099,450.3204108,1713.87615,3480.337618,eyeliner,557.113
subj4_shorten_mono,all the magnolias won't bloom,not > all,1904.17,189.103663,121.9619626,441.9900009,1910.363679,2617.048944,magnolia,410.64
subj4_shorten_mono,all the magnolias won't bloom,all > not,1687.149,137.2651674,111.4051603,427.9168446,1766.446195,2815.292605,magnolia,402.971
subj4_shorten_mono,Liam doesn't know many alumni,most/many > not,2121.536,218.1248979,126.7585092,336.9867474,1079.689693,2680.102873,alumnus,669.414
subj4_shorten_mono,Liam doesn't know many alumni,not > most/many,1722.521,201.8027541,136.2492703,377.8988012,1363.560241,2626.25945,alumnus,571.942
subj4_shorten_mono,all the woollining wasn't worn,all > not,1911.802,190.0074904,122.4046272,288.0541164,1675.556466,2567.645064,wool,492.944
subj4_shorten_mono,all the woolling wasn't worn,not > all,1824.244,180.2979191,121.9576445,476.6776859,1787.207126,2654.286704,wool,239.034
subj4_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2169.13,192.5679381,139.0736048,350.4186061,1325.520847,2797.989888,musical ,792.925
subj4_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2169.942,186.5733431,134.0983898,633.9448757,860.4362521,2690.363338,musical ,828.984
subj4_shorten_mono,all the moms didn't allow eyeliner,not > all,2203.779,155.7207073,108.7443508,437.1524928,1125.059783,2678.695196,eyeliner,816.283
subj4_shorten_mono,all the moms didn't allow eyeliner,all > not,2294.767,179.813621,117.5315529,458.2619628,1215.421353,2719.497966,eyeliner,681.572
subj5_shorten_mono,all of the magnolias won't bloom,not > all,1987.817,295.2082904,213.0882736,562.4213214,1908.899478,3037.210683,magnolia,352.792
subj5_shorten_mono,all the magnolias won't bloom,all > not,1468.496,365.3565958,226.4181773,524.4916791,2251.940834,2948.971381,magnolia,309.138
subj5_shorten_mono,Liam doesn't know many alumni,most/many > not,1748.658,341.9343549,220.9702692,336.5247838,1551.373534,2612.370184,alumnus,606.384
subj5_shorten_mono,Liam doesn't know many alumni,not > most/many,1969.772,395.2522983,258.8773267,752.7780286,1479.90527,2340.344092,alumnus,802.386
subj5_shorten_mono,all the woolining wasn't worn,all > not,1734.128,303.582522,225.6283847,853.1821791,2377.789813,3181.532779,wool,352.46
subj5_shorten_mono,all the woolling wasn't worn,not > all,1807.74,358.7333586,230.8644963,570.0792042,2103.016878,2465.604545,wool,374.35
subj5_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,1921.044,356.2882759,243.1464912,392.0296103,1897.84291,2630.870816,musical ,671.671
subj5_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2238.158,350.1247174,249.6947183,655.9043678,1337.531033,2952.704853,musical ,775.363
subj5_shorten_mono,all the moms didn't allow eyeliner,not > all,2104.84,314.753614,210.1704632,761.5083785,2140.508996,3105.352192,eyeliner,562.848
subj5_shorten_mono,all the moms didn't allow eyeliner,all > not,1785.738,275.1737458,212.1276469,702.927824,1660.767362,2517.5164,eyeliner,636.003
subj6_shorten_mono,all the magnolias won't bloom,not > all,1496.998,200.7698086,116.6544915,346.8859185,1665.76837,2619.682261,magnolia,279.638
subj6_shorten_mono,all the magnolias won't bloom,all > not,1633.777,335.6563277,158.9015277,396.8082194,1642.522631,2892.132547,magnolia,287.159
subj6_shorten_mono,Liam doesn't know many alumnis,most/many > not,1652.405,303.8329962,222.9207182,603.8205108,1462.71785,2749.6454,alumnus,598.914
subj6_shorten_mono,Liam doesn't know many alumni,not > most/many,1782.123,270.6868416,178.4226157,577.4228596,1606.563108,2408.349588,alumnus,660.637
subj6_shorten_mono,all the woollining wasn't worn,all > not,1766.578,212.006249,136.3350747,185.5096946,1987.11572,3183.513021,wool,302.798
subj6_shorten_mono,all the woollining wasn't worn,not > all,1524.521,197.5564468,124.2183078,511.1038621,1579.055184,2151.866108,wool,406.269
subj6_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,2072.973,260.1835252,169.4991437,600.4146736,1104.968328,2817.223507,musical ,867.49
subj6_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,2047.627,202.5285839,164.1857392,411.2354993,1052.089526,3008.917199,musical ,777.473
subj6_shorten_mono,all the moms didn't allow eyeliner,not > all,1754.942,335.5321338,201.1494849,295.2598857,1388.12102,2590.45725,eyeliner,574.314
subj6_shorten_mono,all the moms didn't allow eyeliner,all > not,2044.452,327.1105128,145.9341171,406.4586095,1132.552028,2886.854374,eyeliner,585.311
subj7_shorten_mono,all the magnolias won't bloom,not > all,1581.772,248.9463189,185.426057,682.0425579,1075.697829,2597.300086,magnolia,244.474
subj7_shorten_mono,all the magnolias won't bloom,all > not,1664.256,267.7214808,216.7024667,499.835134,1901.764291,2931.489376,magnolia,330.975
subj7_shorten_mono,Liam doesn't know many alumni,most/many > not,1714.471,272.4163821,218.2868821,589.6658344,1127.431587,2727.15051,alumnus,583.146
subj7_shorten_mono,Liam doesn't know many alumni,not > most/many,1601.906,335.5865181,202.4281225,816.370557,1961.479644,2696.838747,alumnus,500.385
subj7_shorten_mono,all the woollining wasn't worn,all > not,1788.965,379.6057373,260.8234256,580.4431844,2224.926129,2911.623746,wool,433.08
subj7_shorten_mono,all the woollining wasn't worn,not > all,1665.957,289.0011671,198.5129146,752.0925906,2258.725883,2782.546925,wool,452.92
subj7_shorten_mono,Neil doesn't enjoy most musicals,most/many > not,1786.364,281.9863977,202.675057,610.2079353,1345.992427,2742.620073,musical ,678.264
subj7_shorten_mono,Neil doesn't enjoy most musicals,not > most/many,1843.355,250.9770065,194.4589078,607.3115493,1200.123526,2882.770614,musical ,704.377
subj7_shorten_mono,all the moms didn't allow eyeliner,not > all,1836.848,401.840051,191.8571708,519.1509065,1947.26074,2768.040561,eyeliner,605.509
